"corpus","preloaded/bnc2014_spoken_tt3"
"subcorpus","###M833401372594129046###"
Item,Frequency
"i",282469
"it",215982
"you",189062
"and",175256
"the",173355
"yeah",156093
"that",139373
"a",127812
"to",126152
"n''t",113232
"like",107566
"do",87503
"was",83136
"of",77223
"they",73345
"so",68238
"in",67419
"but",65916
"oh",65072
"is",62069
"he",61860
"mm",57373
"just",56244
"know",56100
"we",55340
"no",53512
"have",50121
"she",49779
"what",44996
"on",41639
"well",41488
"there",40326
"not",39979
"erm",37021
"be",36522
"for",36331
"think",35186
"really",34523
"did",32519
"then",32403
"got",30368
"this",29644
"if",29004
"cos",28495
"my",28288
"one",27689
"with",27487
"all",26813
"at",25656
"are",25219
"get",24757
"er",24722
"or",24407
"go",24267
"can",22207
"me",22167
"when",21359
"would",20698
"had",20022
"about",19965
"were",19597
"your",19589
"up",19359
"yes",19150
"as",19013
"them",18700
"right",18600
"said",18480
"out",17899
"because",17160
"good",16234
"her",15837
"how",14747
"going",14450
"does",14230
"okay",14197
"gonna",13945
"bit",13787
"could",13459
"people",13389
"now",13228
"mean",13155
"some",12582
"time",12414
"see",12345
"ca",12259
"want",12100
"actually",12049
"from",11787
"very",11743
"been",11656
"quite",11531
"something",11459
"say",11250
"thing",10850
"him",10802
"where",10265
"an",10252
"back",10042
"nice",9894
"why",9839
"more",9818
"s",9567
"who",9526
"his",9375
"put",9242
"two",9122
"went",8821
"which",8563
"doing",8449
"need",8447
"look",8440
"sort",8282
"much",8064
"things",8046
"come",8018
"thought",7927
"kind",7820
"off",7817
"here",7756
"other",7720
"only",7516
"has",7424
"ah",7303
"though",7274
"little",7260
"even",7242
"down",7225
"probably",7008
"stuff",6828
"way",6780
"day",6722
"lot",6702
"might",6648
"any",6618
"should",6578
"will",6575
"still",6428
"work",6318
"never",6314
"always",5919
"um",5713
"take",5699
"make",5696
"maybe",5659
"their",5650
"over",5512
"these",5466
"into",5457
"done",5452
"anything",5390
"used",5355
"remember",5333
"three",5230
"too",5172
"god",5025
"by",5012
"before",4993
"those",4938
"than",4888
"year",4872
"saying",4857
"last",4848
"us",4796
"mum",4628
"first",4561
"big",4542
"anyway",4509
"long",4289
"same",4172
"again",4157
"different",4113
"our",4099
"wanna",4062
"being",4010
"dad",3987
"fine",3966
"sure",3947
"money",3930
"week",3910
"obviously",3884
"let",3874
"getting",3825
"feel",3817
"house",3815
"next",3718
"years",3716
"tell",3708
"through",3693
"alright",3654
"having",3636
"bad",3587
"home",3574
"after",3567
"love",3537
"night",3515
"round",3415
"wo",3397
"everything",3377
"four",3358
"five",3324
"sorry",3321
"give",3306
"exactly",3304
"came",3290
"find",3284
"new",3277
"every",3187
"another",3184
"else",3161
"around",3133
"half",3107
"many",3095
"end",3042
"also",3023
"away",3017
"must",3000
"made",2959
"whatever",2919
"better",2913
"ones",2891
"school",2881
"looking",2879
"coming",2869
"lovely",2865
"old",2840
"thinking",2840
"talking",2839
"funny",2836
"enough",2820
"someone",2788
"ten",2752
"gone",2746
"ever",2712
"six",2700
"whole",2695
"car",2667
"dunno",2659
"seen",2648
"keep",2632
"eat",2611
"wanted",2608
"hundred",2589
"own",2558
"thank",2556
"point",2555
"goes",2553
"use",2541
"few",2530
"weird",2525
"called",2525
"start",2514
"job",2487
"try",2485
"course",2466
"told",2462
"trying",2459
"life",2434
"pretty",2426
"person",2419
"looks",2391
"phone",2346
"suppose",2346
"buy",2341
