"corpus","preloaded/bnc2014_spoken_tt3"
"subcorpus","###M6059408032002113018###"
Item,Frequency
"i",152415
"it",135521
"the",123179
"you",120361
"yeah",102137
"and",99210
"that",90292
"a",87503
"to",73326
"n''t",63678
"of",54411
"they",51904
"like",48943
"do",48348
"was",46150
"in",44545
"is",40494
"but",37156
"we",35938
"so",35536
"he",35291
"no",34761
"there",31423
"know",30901
"oh",30739
"have",30593
"well",29701
"just",28829
"what",28740
"er",26878
"on",26599
"mm",23930
"not",22429
"for",21324
"be",21242
"got",20858
"one",20485
"erm",19367
"this",19284
"think",19115
"did",18699
"she",18149
"if",18053
"then",17827
"or",17036
"all",16826
"get",16558
"with",15611
"are",15582
"can",15371
"at",14701
"go",14678
"cos",14079
"really",13800
"right",13597
"up",13399
"about",12984
"my",12859
"when",12322
"as",12291
"had",12021
"would",11828
"them",11728
"out",11344
"your",11269
"were",11209
"me",10470
"mean",9913
"good",9807
"yes",9295
"people",9140
"could",8748
"some",8485
"now",8426
"said",8341
"how",8239
"bit",7958
"see",7893
"okay",7822
"two",7802
"something",7784
"from",7780
"does",7733
"going",7682
"because",7670
"where",7266
"gonna",7238
"an",7211
"ca",7143
"been",6862
"thing",6769
"time",6574
"say",6534
"very",6525
"sort",6520
"more",6283
"who",6092
"back",6077
"put",6067
"quite",5887
"which",5885
"want",5851
"down",5809
"his",5612
"her",5486
"him",5473
"actually",5419
"why",5261
"s",5147
"off",5091
"only",5056
"here",5030
"come",5003
"went",4958
"other",4936
"look",4900
"need",4828
"much",4823
"lot",4732
"these",4651
"um",4570
"things",4558
"probably",4545
"three",4541
"used",4453
"way",4452
"has",4444
"stuff",4386
"doing",4293
"any",4177
"kind",4101
"take",4005
"thought",3974
"should",3934
"still",3924
"though",3923
"little",3883
"nice",3850
"over",3813
"will",3810
"their",3751
"by",3724
"into",3687
"might",3632
"big",3579
"than",3550
"never",3460
"make",3460
"work",3428
"uh",3357
"day",3329
"done",3270
"first",3206
"ah",3200
"remember",3146
"even",3120
"always",3084
"those",3017
"us",3009
"four",2982
"anything",2954
"too",2921
"alright",2893
"maybe",2850
"same",2836
"last",2789
"year",2766
"before",2751
"years",2744
"five",2722
"money",2686
"saying",2650
"our",2629
"wanna",2588
"through",2580
"different",2575
"another",2565
"again",2512
"getting",2445
"sure",2372
"long",2355
"round",2329
"let",2298
"around",2248
"give",2221
"old",2181
"mum",2174
"hundred",2173
"new",2172
"use",2150
"being",2134
"sorry",2127
"house",2124
"dunno",2118
"after",2102
"every",2098
"pretty",2097
"next",2094
"anyway",2060
"called",2047
"ten",2014
"course",1991
"everything",1985
"tell",1981
"six",1961
"half",1950
"many",1942
"better",1940
"away",1919
"end",1909
"someone",1868
"whatever",1866
"else",1858
"must",1853
"place",1826
"bad",1810
"came",1809
"ones",1807
"find",1801
"made",1792
"week",1785
"seen",1758
"point",1753
"talking",1747
"wo",1739
"god",1737
"gone",1721
"keep",1714
"car",1713
"also",1708
"enough",1706
"coming",1699
"em",1687
"obviously",1685
"dad",1678
"having",1675
"goes",1664
"trying",1656
"pay",1640
"great",1633
"gotta",1632
"ever",1625
"most",1613
"try",1611
"whole",1595
"night",1577
"few",1576
"guy",1570
"fine",1565
"school",1561
"play",1558
"says",1553
"start",1552
"thinking",1538
"left",1534
"home",1529
"buy",1498
"nothing",1481
"eh",1477
"looking",1464
"name",1442
"suppose",1436
"once",1435
"fucking",1435
"eat",1429
"job",1419
"twenty",1414
"everyone",1380
"feel",1369
"couple",1355
"top",1345
"exactly",1342
"man",1341
"own",1336
"basically",1334
"w",1319
"game",1309
"thank",1307
"cool",1288
"saw",1281
"wrong",1276
"told",1274
"problem",1269
"took",1268
"shit",1259
"read",1259
"seven",1256
"road",1255
"love",1245
"watch",1243
"days",1227
"funny",1222
"thousand",1217
"person",1212
"wanted",1207
"idea",1202
"turn",1192
"side",1186
"looks",1175
"ago",1174
"move",1165
"water",1161
"definitely",1161
"weird",1154
"live",1152
"eight",1149
"either",1141
"somewhere",1135
"each",1129
"part",1129
"life",1122
"phone",1121
"am",1120
"world",1116
"lovely",1090
"mind",1085
"working",1084
"call",1077
"d",1075
"far",1074
"stop",1070
"best",1068
"started",1059
"gets",1057
"loads",1054
"wow",1054
"today",1042
"hour",1040
"o",1038
"able",1035
"minutes",1033
"true",1029
"room",1027
"hard",1019
"interesting",1018
"while",1013
"book",1009
"ai",1008
"please",1003
"already",1003
"mate",1002
"talk",999
"hours",992
"guess",991
"both",990
"walk",986
"head",986
"quid",985
"english",984
"bought",984
"times",977
"card",971
"pound",961
"somebody",959
"leave",948
"food",948
"morning",945
"heard",941
"run",937
"together",935
"absolutely",934
"christmas",934
"fifty",928
"rather",921
"wait",919
"th",917
"happened",916
"pounds",916
"sometimes",914
"whether",914
"show",914
"comes",910
"found",910
"friends",906
"open",902
"yet",902
"word",900
"thirty",900
"sounds",882
"looked",882
"black",872
"family",860
"dear",859
"free",854
"drink",853
"between",843
"second",839
"mine",830
"country",830
"until",822
"months",818
"kids",818
"cut",815
"playing",815
"making",813
"set",805
"innit",802
"nine",801
"ask",800
"may",800
"y",796
"door",790
"means",787
"past",786
"fuck",782
"outside",782
"apparently",776
"weeks",774
"fact",773
"shall",769
"f",769
"drive",768
"uhu",767
"full",767
"change",766
"help",764
"knew",763
"lots",757
"makes",753
"understand",750
"t",748
"hand",748
"such",748
"fair",742
"c",740
"front",740
"pick",737
"film",736
"white",727
"fifteen",724
"anyone",724
"since",722
"stay",718
"paid",717
"taking",715
"small",714
