hw_pos,mcount,fcount
of_PREP,91107,39614
that_CONJ,39853,16945
oh_INTERJ,18629,26095
no_INTERJ,18573,19276
she_PRON,14947,33911
which_PRON,12830,3950
mm_INTERJ,11023,16254
by_PREP,9417,3632
okay_ADV,6337,1957
cos_CONJ,6020,7654
as_PREP,5686,1916
hundred_ADJ,5063,2010
like_VERB,4653,4955
point_SUBST,4425,1309
course_SUBST,4299,1677
number_SUBST,3861,1168
problem_SUBST,3217,1197
like_ADV,2990,3377
mr_SUBST,2987,971
fact_SUBST,2906,942
area_SUBST,2891,822
also_ADV,2866,1148
may_VERB,2859,798
thousand_ADJ,2842,1068
question_SUBST,2659,781
c_SUBST,2612,754
a_SUBST,2593,762
council_SUBST,2532,736
part_SUBST,2378,877
nice_ADJ,2247,3312
between_PREP,2147,728
p_SUBST,2056,761
b_SUBST,2045,681
buy_VERB,2035,2547
term_SUBST,1979,431
nineteen_ADJ,1967,600
night_SUBST,1965,2329
case_SUBST,1909,766
group_SUBST,1826,591
mum_SUBST,1768,1982
kind_SUBST,1759,705
service_SUBST,1747,595
certainly_ADV,1724,565
local_ADJ,1712,475
though_ADV,1663,1834
sit_VERB,1658,1930
obviously_ADV,1655,687
county_SUBST,1652,371
important_ADJ,1649,437
government_SUBST,1581,387
percent_SUBST,1569,310
s_SUBST,1558,579
member_SUBST,1546,408
high_ADJ,1525,648
e_SUBST,1524,606
o_SUBST,1516,518
sixty_ADJ,1511,583
country_SUBST,1502,511
within_PREP,1502,320
ooh_INTERJ,1501,2249
line_SUBST,1495,552
most_ADJ,1492,626
against_PREP,1467,353
reason_SUBST,1452,444
n_ADV,1445,1868
particular_ADJ,1436,303
world_SUBST,1412,503
business_SUBST,1393,474
example_SUBST,1388,262
far_ADV,1377,524
policy_SUBST,1366,349
alright_ADJ,1355,1820
company_SUBST,1351,512
view_SUBST,1338,295
m_SUBST,1333,475
second_ADJ,1267,483
level_SUBST,1242,365
york_SUBST,1219,229
system_SUBST,1213,385
eighty_ADJ,1208,518
figure_SUBST,1207,343
plan_SUBST,1198,403
door_SUBST,1191,1403
d_SUBST,1175,294
agree_VERB,1174,396
become_VERB,1161,396
set_VERB,1136,490
most_ADV,1129,399
i_SUBST,1114,414
issue_SUBST,1111,240
price_SUBST,1105,475
information_SUBST,1099,326
general_ADJ,1096,279
room_SUBST,1095,1152
order_SUBST,1084,316
add_VERB,1082,241
g_SUBST,1075,349
walk_VERB,1068,1152
dad_SUBST,1065,1376
matter_SUBST,1062,451
situation_SUBST,1057,343
meeting_SUBST,1051,445
indeed_ADV,1038,214
watch_VERB,1038,1089
shop_SUBST,1036,1091
cost_SUBST,1031,231
union_SUBST,1028,304
certain_ADJ,1024,320
bloody_ADJ,1018,1253
wait_VERB,1008,1156
x_SUBST,1006,0
deal_VERB,999,272
committee_SUBST,997,265
far_ADJ,986,357
stay_VERB,986,1002
change_SUBST,984,337
large_ADJ,978,328
city_SUBST,976,302
build_VERB,972,405
police_SUBST,969,400
authority_SUBST,967,215
sense_SUBST,965,271
tomorrow_ADV,965,1187
game_SUBST,956,335
national_ADJ,956,288
war_SUBST,951,339
answer_SUBST,947,276
provide_VERB,946,304
home_ADV,935,1382
boy_SUBST,928,1108
need_SUBST,923,340
aha_INTERJ,921,1159
interest_SUBST,921,249
ha_INTERJ,916,1055
land_SUBST,915,0
n_SUBST,914,289
mind_VERB,909,1333
difference_SUBST,908,395
million_ADJ,908,269
although_CONJ,906,341
district_SUBST,906,0
development_SUBST,895,0
particularly_ADV,895,260
officer_SUBST,894,280
north_SUBST,893,226
plus_PREP,891,236
r_SUBST,882,378
rate_SUBST,879,250
eat_VERB,874,1454
form_SUBST,867,313
mention_VERB,866,364
therefore_ADV,865,0
hello_INTERJ,862,994
suggest_VERB,861,247
produce_VERB,856,0
trade_SUBST,854,208
during_PREP,850,323
clear_ADJ,848,249
interesting_ADJ,845,336
forward_ADV,843,251
centre_SUBST,839,356
stage_SUBST,839,221
draw_VERB,837,293
low_ADJ,836,330
motion_SUBST,835,0
programme_SUBST,829,349
building_SUBST,825,277
amount_SUBST,822,327
less_ADV,816,301
accept_VERB,815,200
u_SUBST,812,295
settlement_SUBST,807,0
power_SUBST,805,205
position_SUBST,800,206
site_SUBST,795,238
chance_SUBST,793,327
sir_SUBST,792,0
basically_ADV,785,250
f_SUBST,785,260
possible_ADJ,785,273
concerned_ADJ,773,226
follow_VERB,770,253
traffic_SUBST,766,0
minus_PREP,765,0
listen_VERB,759,973
third_ADJ,759,313
effect_SUBST,757,0
chairman_SUBST,756,0
mile_SUBST,754,280
fucking_ADJ,753,0
okay_ADJ,749,304
girl_SUBST,748,1390
mummy_SUBST,748,767
wonder_VERB,746,765
staff_SUBST,744,303
period_SUBST,743,0
h_SUBST,740,301
half_SUBST,740,278
main_ADJ,732,318
result_SUBST,730,0
ball_SUBST,719,0
friend_SUBST,719,770
tape_SUBST,714,891
south_SUBST,707,268
box_SUBST,706,732
towards_PREP,706,237
tonight_ADV,705,829
fairly_ADV,702,227
clearly_ADV,701,0
team_SUBST,700,238
tend_VERB,698,0
decision_SUBST,697,224
region_SUBST,696,0
project_SUBST,693,0
in_VERB,691,1072
past_PREP,687,810
benefit_SUBST,679,0
support_VERB,678,219
yesterday_ADV,674,868
ring_VERB,673,863
tax_SUBST,673,247
almost_ADV,670,255
dog_SUBST,670,810
mother_SUBST,666,970
lovely_ADJ,664,1429
themselves_PRON,660,281
itself_PRON,659,0
no_VERB,656,680
mine_PRON,653,864
